Location,Metric,CY20,CY21,CY22,CY23
CA-509 Mendocino County CoC,M5,0.154,0.015,0.119,0.080
"CA-510 Turlock, Modesto/Stanislaus County CoC",M5,0.064,0.098,0.091,0.076
CA-511 Stockton/San Joaquin County CoC,M5,0.093,0.156,0.192,0.097
CA-512 Daly City/San Mateo County CoC,M5,0.087,0.070,0.138,0.104
"CA-513 Visalia/Kings, Tulare Counties CoC",M5,0.144,0.043,0.107,0.141
CA-514 Fresno City & County/Madera County CoC,M5,0.098,0.068,0.141,0.102
"CA-515 Roseville, Rocklin/Placer County CoC",M5,0.098,0.177,0.022,0.099
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M5,0.140,0.048,0.025,0.049
CA-517 Napa City & County CoC,M5,0.000,0.100,0.100,0.080
CA-518 Vallejo/Solano County CoC,M5,0.130,0.102,0.063,0.189
"CA-519 Chico, Paradise/Butte County CoC",M5,0.174,0.041,0.016,0.326
CA-520 Merced City & County CoC,M5,0.175,0.127,0.078,0.056
"CA-521 Davis, Woodland/Yolo County CoC",M5,0.080,0.049,0.115,0.083
CA-522 Humboldt County CoC,M5,0.087,0.103,0.092,0.277
"CA-523 Colusa, Glenn, Trinity Counties CoC",M5,0.065,0.057,0.045,0.000
CA-524 Yuba City & County/Sutter County CoC,M5,0.000,0.196,0.094,0.050
CA-525 El Dorado County CoC,M5,0.053,0.060,0.133,0.000
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M5,0.133,0.071,0.194,0.094
CA-527 Tehama County CoC,M5,0.261,0.000,0.000,0.024
CA-529 Lake County CoC,M5,0.000,0.143,0.063,0.053
"CA-530 Alpine, Inyo, Mono Counties CoC",M5,0.042,0.067,0.000,0.023
CA-531 Nevada County CoC,M5,0.200,0.044,0.077,0.192
CA-600 Los Angeles City & County CoC,M5,0.067,0.096,0.076,0.084
CA-601 San Diego City & County CoC,M5,0.161,0.109,0.138,0.135
"CA-602 Santa Ana, Anaheim/Orange County CoC",M5,0.104,0.096,0.089,0.082
CA-603 Santa Maria/Santa Barbara County CoC,M5,0.092,0.160,0.179,0.105
CA-604 Bakersfield/Kern County CoC,M5,0.108,0.153,0.168,0.140
CA-606 Long Beach CoC,M5,0.049,0.096,0.075,0.087
CA-607 Pasadena CoC,M5,0.045,0.050,0.048,0.116
CA-608 Riverside City & County CoC,M5,0.065,0.093,0.092,0.140
CA-609 San Bernardino City & County CoC,M5,0.117,0.056,0.165,0.065
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M5,0.115,0.075,0.091,0.101
CA-612 Glendale CoC,M5,0.188,0.040,0.037,0.056
CA-613 Imperial County CoC,M5,0.059,0.214,0.095,0.044
CA-614 San Luis Obispo County CoC,M5,0.102,0.075,0.165,0.083
Los Angeles County,M5,0.062,0.094,0.074,0.086
California,M6,8061,10071,12104,16619
CA-500 San Jose/Santa Clara City & County CoC,M6,205,245,362,350
CA-501 San Francisco CoC,M6,20,14,13,25
"CA-502 Oakland, Berkeley/Alameda County CoC",M6,29,53,60,65
CA-503 Sacramento City & County CoC,M6,101,67,228,241
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M6,97,171,227,207
CA-505 Richmond/Contra Costa County CoC,M6,813,596,1809,3691
"CA-506 Salinas/Monterey, San Benito Counties CoC",M6,16,13,12,30
CA-507 Marin County CoC,M6,0,31,18,8
CA-508 Watsonville/Santa Cruz City & County CoC,M6,0,0,0,0
CA-509 Mendocino County CoC,M6,0,0,1,0
"CA-510 Turlock, Modesto/Stanislaus County CoC",M6,10,34,40,57
CA-511 Stockton/San Joaquin County CoC,M6,2,1,1,3
CA-512 Daly City/San Mateo County CoC,M6,5,6,41,11
"CA-513 Visalia/Kings, Tulare Counties CoC",M6,70,76,91,120
CA-514 Fresno City & County/Madera County CoC,M6,102,664,398,536
"CA-515 Roseville, Rocklin/Placer County CoC",M6,12,28,17,22
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M6,0,4,71,7
CA-517 Napa City & County CoC,M6,6,8,25,44
CA-518 Vallejo/Solano County CoC,M6,0,0,1,0
"CA-519 Chico, Paradise/Butte County CoC",M6,0,0,0,21
CA-520 Merced City & County CoC,M6,60,21,37,18
"CA-521 Davis, Woodland/Yolo County CoC",M6,0,3,17,7
CA-522 Humboldt County CoC,M6,23,31,50,22
"CA-523 Colusa, Glenn, Trinity Counties CoC",M6,0,1,2,0
CA-524 Yuba City & County/Sutter County CoC,M6,0,3,8,19
CA-525 El Dorado County CoC,M6,2,3,1,40
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M6,0,19,1,5
CA-527 Tehama County CoC,M6,0,5,0,0
CA-529 Lake County CoC,M6,0,0,0,0
"CA-530 Alpine, Inyo, Mono Counties CoC",M6,24,8,0,0
CA-531 Nevada County CoC,M6,11,11,62,28
CA-600 Los Angeles City & County CoC,M6,2351,4267,3840,6221
CA-601 San Diego City & County CoC,M6,2063,1460,1943,1655
"CA-602 Santa Ana, Anaheim/Orange County CoC",M6,1296,1564,1527,1921
CA-603 Santa Maria/Santa Barbara County CoC,M6,34,43,121,91
CA-604 Bakersfield/Kern County CoC,M6,20,28,67,65
CA-606 Long Beach CoC,M6,255,18,106,236
CA-607 Pasadena CoC,M6,29,53,56,66
CA-608 Riverside City & County CoC,M6,216,252,546,699
CA-609 San Bernardino City & County CoC,M6,199,180,299,71
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M6,25,124,45,44
CA-612 Glendale CoC,M6,11,44,21,8
CA-613 Imperial County CoC,M6,4,32,4,18
CA-614 San Luis Obispo County CoC,M6,0,0,22,42
Los Angeles County,M6,2606,4287,3947,6455
California,PIT Count,161548,N/A,171521,181399
CA-500 San Jose/Santa Clara City & County CoC,PIT Count,9605,N/A,10028,9903
CA-501 San Francisco CoC,PIT Count,8124,N/A,7754,7582
"CA-502 Oakland, Berkeley/Alameda County CoC",PIT Count,8137,N/A,9747,9759
CA-503 Sacramento City & County CoC,PIT Count,5511,N/A,9278,9281
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",PIT Count,2745,N/A,2893,2266
CA-505 Richmond/Contra Costa County CoC,PIT Count,2277,N/A,3093,2372
"CA-506 Salinas/Monterey, San Benito Counties CoC",PIT Count,2683,N/A,2404,2212
CA-507 Marin County CoC,PIT Count,1032,N/A,1121,1118
CA-508 Watsonville/Santa Cruz City & County CoC,PIT Count,2256,N/A,2299,1804
CA-509 Mendocino County CoC,PIT Count,751,N/A,830,633
"CA-510 Turlock, Modesto/Stanislaus County CoC",PIT Count,2107,N/A,1857,2091
CA-511 Stockton/San Joaquin County CoC,PIT Count,2677,N/A,2319,2454
CA-512 Daly City/San Mateo County CoC,PIT Count,1572,N/A,1808,1859
"CA-513 Visalia/Kings, Tulare Counties CoC",PIT Count,1297,N/A,1235,1470
CA-514 Fresno City & County/Madera County CoC,PIT Count,3641,N/A,4216,4493
"CA-515 Roseville, Rocklin/Placer County CoC",PIT Count,744,N/A,750,709
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",PIT Count,1529,N/A,1837,2521
CA-517 Napa City & County CoC,PIT Count,464,N/A,495,506
CA-518 Vallejo/Solano County CoC,PIT Count,1162,N/A,1179,1200
"CA-519 Chico, Paradise/Butte County CoC",PIT Count,1274,N/A,1006,1237
CA-520 Merced City & County CoC,PIT Count,636,N/A,855,784
"CA-521 Davis, Woodland/Yolo County CoC",PIT Count,641,N/A,746,737
CA-522 Humboldt County CoC,PIT Count,1701,N/A,1648,1656
