CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-505,Contra Costa County CoC,18-24,369
2018,CA-505,Contra Costa County CoC,25-34,838
2018,CA-505,Contra Costa County CoC,35-44,766
2018,CA-505,Contra Costa County CoC,45-54,774
2018,CA-505,Contra Costa County CoC,55-64,817
2018,CA-505,Contra Costa County CoC,65+,312
2018,CA-505,Contra Costa County CoC,Under 18,1174
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,156
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,379
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,356
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,314
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,335
2018,CA-506,"Monterey, San Benito Counties CoC",65+,140
2018,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,932
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2018,CA-507,Marin County CoC,18-24,76
2018,CA-507,Marin County CoC,25-34,229
2018,CA-507,Marin County CoC,35-44,212
2018,CA-507,Marin County CoC,45-54,252
2018,CA-507,Marin County CoC,55-64,228
2018,CA-507,Marin County CoC,65+,107
2018,CA-507,Marin County CoC,Under 18,250
2018,CA-508,Santa Cruz County CoC,18-24,100
2018,CA-508,Santa Cruz County CoC,25-34,277
2018,CA-508,Santa Cruz County CoC,35-44,280
2018,CA-508,Santa Cruz County CoC,45-54,302
2018,CA-508,Santa Cruz County CoC,55-64,303
2018,CA-508,Santa Cruz County CoC,65+,126
2018,CA-508,Santa Cruz County CoC,Under 18,465
2018,CA-508,Santa Cruz County CoC,Unknown,47
2018,CA-509,Mendocino County CoC,18-24,70
2018,CA-509,Mendocino County CoC,25-34,101
2018,CA-509,Mendocino County CoC,35-44,105
2018,CA-509,Mendocino County CoC,45-54,111
2018,CA-509,Mendocino County CoC,55-64,105
2018,CA-509,Mendocino County CoC,65+,40
2018,CA-509,Mendocino County CoC,Under 18,111
2018,CA-509,Mendocino County CoC,Unknown,21
2018,CA-510,Stanislaus County CoC,18-24,519
2018,CA-510,Stanislaus County CoC,25-34,1046
2018,CA-510,Stanislaus County CoC,35-44,918
2018,CA-510,Stanislaus County CoC,45-54,734
2018,CA-510,Stanislaus County CoC,55-64,573
2018,CA-510,Stanislaus County CoC,65+,166
2018,CA-510,Stanislaus County CoC,Under 18,2193
2018,CA-510,Stanislaus County CoC,Unknown,*
2018,CA-511,San Joaquin County CoC,18-24,787
2018,CA-511,San Joaquin County CoC,25-34,1499
2018,CA-511,San Joaquin County CoC,35-44,1099
2018,CA-511,San Joaquin County CoC,45-54,808
2018,CA-511,San Joaquin County CoC,55-64,608
2018,CA-511,San Joaquin County CoC,65+,198
2018,CA-511,San Joaquin County CoC,Under 18,4130
2018,CA-511,San Joaquin County CoC,Unknown,*
2018,CA-512,San Mateo County CoC,18-24,265
2018,CA-512,San Mateo County CoC,25-34,564
2018,CA-512,San Mateo County CoC,35-44,516
2018,CA-512,San Mateo County CoC,45-54,511
2018,CA-512,San Mateo County CoC,55-64,475
2018,CA-512,San Mateo County CoC,65+,183
2018,CA-512,San Mateo County CoC,Invalid,*
2018,CA-512,San Mateo County CoC,Under 18,1271
2018,CA-512,San Mateo County CoC,Unknown,*
2018,CA-513,"Kings, Tulare Counties CoC",18-24,269
2018,CA-513,"Kings, Tulare Counties CoC",25-34,535
2018,CA-513,"Kings, Tulare Counties CoC",35-44,571
2018,CA-513,"Kings, Tulare Counties CoC",45-54,420
2018,CA-513,"Kings, Tulare Counties CoC",55-64,274
2018,CA-513,"Kings, Tulare Counties CoC",65+,79
2018,CA-513,"Kings, Tulare Counties CoC",Invalid,*
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,815
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,*
2018,CA-514,"Fresno, Madera Counties CoC",18-24,298
2018,CA-514,"Fresno, Madera Counties CoC",25-34,371
2018,CA-514,"Fresno, Madera Counties CoC",35-44,366
2018,CA-514,"Fresno, Madera Counties CoC",45-54,422
2018,CA-514,"Fresno, Madera Counties CoC",55-64,404
2018,CA-514,"Fresno, Madera Counties CoC",65+,119
2018,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,929
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,23
2018,CA-515,Placer County CoC,18-24,91
2018,CA-515,Placer County CoC,25-34,249
2018,CA-515,Placer County CoC,35-44,249
2018,CA-515,Placer County CoC,45-54,271
2018,CA-515,Placer County CoC,55-64,223
2018,CA-515,Placer County CoC,65+,78
2018,CA-515,Placer County CoC,Under 18,381
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,34
